[15-05-2017 13:02:37] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[18-05-2017 11:36:38] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:37:46] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:38:00] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:40:49] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:41:23] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:50:14] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:50:35] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:50:38] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:51:02] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:53:37] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 11:53:45] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 12:08:23] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 12:12:36] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 12:12:37] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 12:13:12] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 12:14:57] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 12:20:39] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 12:20:58] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:07:11] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:07:30] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:07:38] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:07:58] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:13:04] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:13:18] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:13:29] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:13:55] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:16:47] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:18:24] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:19:01] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:23:12] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:23:33] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 13:29:18] Undefined index: id, W:\domains\mysite.local\index.php : 12
[18-05-2017 14:01:25] Use of undefined constant nan - assumed 'nan', W:\domains\mysite.local\inc\lib.ink.php : 64
